CPU Utilization Data for com.docker.hyper
CPU%:9.82  TimeStamp:"2020-08-07T00:29:54"
CPU%:8.60  TimeStamp:"2020-08-07T00:29:55"
CPU%:8.83  TimeStamp:"2020-08-07T00:29:56"
CPU%:11.54  TimeStamp:"2020-08-07T00:29:57"
CPU%:7.15  TimeStamp:"2020-08-07T00:29:58"
CPU%:7.65  TimeStamp:"2020-08-07T00:29:59"
CPU%:3.66  TimeStamp:"2020-08-07T00:30:00"
CPU%:6.40  TimeStamp:"2020-08-07T00:30:01"
CPU%:6.48  TimeStamp:"2020-08-07T00:30:02"
CPU%:7.04  TimeStamp:"2020-08-07T00:30:03"
CPU%:7.75  TimeStamp:"2020-08-07T00:30:04"
CPU%:10.89  TimeStamp:"2020-08-07T00:30:05"
CPU%:10.44  TimeStamp:"2020-08-07T00:30:06"
CPU%:10.33  TimeStamp:"2020-08-07T00:30:07"
CPU%:8.88  TimeStamp:"2020-08-07T00:30:08"
CPU%:9.05  TimeStamp:"2020-08-07T00:30:09"
CPU%:8.71  TimeStamp:"2020-08-07T00:30:10"
CPU%:9.37  TimeStamp:"2020-08-07T00:30:11"
CPU%:10.40  TimeStamp:"2020-08-07T00:30:12"
CPU%:11.21  TimeStamp:"2020-08-07T00:30:13"
CPU%:10.78  TimeStamp:"2020-08-07T00:30:14"
CPU%:11.58  TimeStamp:"2020-08-07T00:30:15"
CPU%:10.26  TimeStamp:"2020-08-07T00:30:16"
CPU%:9.26  TimeStamp:"2020-08-07T00:30:17"
CPU%:8.06  TimeStamp:"2020-08-07T00:30:18"
CPU%:6.51  TimeStamp:"2020-08-07T00:30:19"
CPU%:8.39  TimeStamp:"2020-08-07T00:30:20"
CPU%:6.90  TimeStamp:"2020-08-07T00:30:21"
CPU%:7.99  TimeStamp:"2020-08-07T00:30:22"
CPU%:7.80  TimeStamp:"2020-08-07T00:30:23"
CPU%:10.28  TimeStamp:"2020-08-07T00:30:24"
CPU%:11.23  TimeStamp:"2020-08-07T00:30:25"
CPU%:7.47  TimeStamp:"2020-08-07T00:30:26"
CPU%:8.38  TimeStamp:"2020-08-07T00:30:27"
CPU%:7.87  TimeStamp:"2020-08-07T00:30:28"
CPU%:8.00  TimeStamp:"2020-08-07T00:30:29"
CPU%:8.23  TimeStamp:"2020-08-07T00:30:30"
CPU%:6.87  TimeStamp:"2020-08-07T00:30:31"
CPU%:8.62  TimeStamp:"2020-08-07T00:30:32"
CPU%:8.43  TimeStamp:"2020-08-07T00:30:33"
CPU%:10.38  TimeStamp:"2020-08-07T00:30:34"
