CPU utilization Data for rust_cpu_pid
CPU%:0.14  TimeStamp:"2020-08-07T11:45:52"
CPU%:0.07  TimeStamp:"2020-08-07T11:45:53"
CPU%:0.03  TimeStamp:"2020-08-07T11:45:54"
CPU%:0.04  TimeStamp:"2020-08-07T11:45:55"
CPU%:0.03  TimeStamp:"2020-08-07T11:45:56"
CPU%:0.04  TimeStamp:"2020-08-07T11:45:57"
CPU%:0.04  TimeStamp:"2020-08-07T11:45:58"
CPU%:0.04  TimeStamp:"2020-08-07T11:45:59"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:00"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:01"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:02"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:03"
CPU%:0.05  TimeStamp:"2020-08-07T11:46:04"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:05"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:06"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:07"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:08"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:09"
CPU%:0.05  TimeStamp:"2020-08-07T11:46:10"
CPU%:0.05  TimeStamp:"2020-08-07T11:46:11"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:12"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:13"
CPU%:0.05  TimeStamp:"2020-08-07T11:46:14"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:15"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:16"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:17"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:18"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:19"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:20"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:21"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:22"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:23"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:24"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:25"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:26"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:27"
CPU%:0.02  TimeStamp:"2020-08-07T11:46:28"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:29"
CPU%:0.02  TimeStamp:"2020-08-07T11:46:30"
CPU%:0.02  TimeStamp:"2020-08-07T11:46:31"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:32"
CPU%:0.02  TimeStamp:"2020-08-07T11:46:33"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:34"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:35"
CPU%:0.05  TimeStamp:"2020-08-07T11:46:36"
CPU%:0.05  TimeStamp:"2020-08-07T11:46:37"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:38"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:39"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:40"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:41"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:42"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:43"
CPU%:0.06  TimeStamp:"2020-08-07T11:46:44"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:45"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:46"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:47"
CPU%:0.03  TimeStamp:"2020-08-07T11:46:48"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:49"
CPU%:0.05  TimeStamp:"2020-08-07T11:46:50"
CPU%:0.04  TimeStamp:"2020-08-07T11:46:51"
