CPU Utilization Data for com.docker.hyper
CPU%:8.11  TimeStamp:"2020-08-07T00:53:51"
CPU%:8.70  TimeStamp:"2020-08-07T00:53:52"
CPU%:6.78  TimeStamp:"2020-08-07T00:53:53"
CPU%:8.55  TimeStamp:"2020-08-07T00:53:54"
CPU%:9.43  TimeStamp:"2020-08-07T00:53:55"
CPU%:7.39  TimeStamp:"2020-08-07T00:53:56"
CPU%:7.97  TimeStamp:"2020-08-07T00:53:57"
CPU%:10.78  TimeStamp:"2020-08-07T00:53:58"
CPU%:9.17  TimeStamp:"2020-08-07T00:53:59"
CPU%:9.09  TimeStamp:"2020-08-07T00:54:00"
CPU%:7.90  TimeStamp:"2020-08-07T00:54:01"
CPU%:7.86  TimeStamp:"2020-08-07T00:54:02"
CPU%:11.31  TimeStamp:"2020-08-07T00:54:03"
CPU%:10.81  TimeStamp:"2020-08-07T00:54:04"
CPU%:8.52  TimeStamp:"2020-08-07T00:54:05"
CPU%:9.53  TimeStamp:"2020-08-07T00:54:06"
CPU%:7.98  TimeStamp:"2020-08-07T00:54:07"
CPU%:9.45  TimeStamp:"2020-08-07T00:54:08"
CPU%:10.17  TimeStamp:"2020-08-07T00:54:09"
CPU%:10.48  TimeStamp:"2020-08-07T00:54:10"
CPU%:10.34  TimeStamp:"2020-08-07T00:54:11"
CPU%:10.63  TimeStamp:"2020-08-07T00:54:12"
CPU%:8.98  TimeStamp:"2020-08-07T00:54:13"
CPU%:9.04  TimeStamp:"2020-08-07T00:54:14"
CPU%:7.96  TimeStamp:"2020-08-07T00:54:15"
CPU%:9.17  TimeStamp:"2020-08-07T00:54:16"
CPU%:9.29  TimeStamp:"2020-08-07T00:54:17"
CPU%:8.70  TimeStamp:"2020-08-07T00:54:18"
CPU%:9.19  TimeStamp:"2020-08-07T00:54:19"
CPU%:8.73  TimeStamp:"2020-08-07T00:54:20"
CPU%:9.84  TimeStamp:"2020-08-07T00:54:21"
CPU%:9.11  TimeStamp:"2020-08-07T00:54:22"
CPU%:8.57  TimeStamp:"2020-08-07T00:54:23"
CPU%:9.99  TimeStamp:"2020-08-07T00:54:24"
CPU%:8.79  TimeStamp:"2020-08-07T00:54:25"
CPU%:7.58  TimeStamp:"2020-08-07T00:54:26"
CPU%:8.26  TimeStamp:"2020-08-07T00:54:27"
CPU%:9.79  TimeStamp:"2020-08-07T00:54:28"
CPU%:6.61  TimeStamp:"2020-08-07T00:54:29"
CPU%:5.86  TimeStamp:"2020-08-07T00:54:30"
CPU%:6.84  TimeStamp:"2020-08-07T00:54:31"
CPU%:8.05  TimeStamp:"2020-08-07T00:54:32"
CPU%:11.90  TimeStamp:"2020-08-07T00:54:33"
CPU%:7.62  TimeStamp:"2020-08-07T00:54:34"
CPU%:6.82  TimeStamp:"2020-08-07T00:54:35"
CPU%:6.58  TimeStamp:"2020-08-07T00:54:36"
CPU%:8.71  TimeStamp:"2020-08-07T00:54:37"
CPU%:7.91  TimeStamp:"2020-08-07T00:54:38"
CPU%:9.68  TimeStamp:"2020-08-07T00:54:39"
CPU%:9.89  TimeStamp:"2020-08-07T00:54:40"
CPU%:10.39  TimeStamp:"2020-08-07T00:54:41"
CPU%:9.56  TimeStamp:"2020-08-07T00:54:42"
CPU%:8.80  TimeStamp:"2020-08-07T00:54:43"
CPU%:11.19  TimeStamp:"2020-08-07T00:54:44"
CPU%:9.47  TimeStamp:"2020-08-07T00:54:45"
CPU%:10.48  TimeStamp:"2020-08-07T00:54:46"
CPU%:11.35  TimeStamp:"2020-08-07T00:54:47"
CPU%:8.13  TimeStamp:"2020-08-07T00:54:48"
CPU%:5.30  TimeStamp:"2020-08-07T00:54:49"
CPU%:7.37  TimeStamp:"2020-08-07T00:54:50"
