CPU Utilization Data for com.docker.hyper
CPU%:6.50  TimeStamp:"2020-08-07T00:57:43"
CPU%:8.37  TimeStamp:"2020-08-07T00:57:44"
CPU%:9.44  TimeStamp:"2020-08-07T00:57:45"
CPU%:8.02  TimeStamp:"2020-08-07T00:57:46"
CPU%:5.97  TimeStamp:"2020-08-07T00:57:47"
CPU%:6.44  TimeStamp:"2020-08-07T00:57:48"
CPU%:7.66  TimeStamp:"2020-08-07T00:57:49"
CPU%:9.43  TimeStamp:"2020-08-07T00:57:50"
CPU%:5.54  TimeStamp:"2020-08-07T00:57:51"
CPU%:5.10  TimeStamp:"2020-08-07T00:57:52"
CPU%:6.66  TimeStamp:"2020-08-07T00:57:53"
CPU%:7.09  TimeStamp:"2020-08-07T00:57:54"
CPU%:8.99  TimeStamp:"2020-08-07T00:57:55"
CPU%:7.20  TimeStamp:"2020-08-07T00:57:56"
CPU%:9.32  TimeStamp:"2020-08-07T00:57:57"
CPU%:8.04  TimeStamp:"2020-08-07T00:57:58"
CPU%:7.51  TimeStamp:"2020-08-07T00:57:59"
CPU%:6.39  TimeStamp:"2020-08-07T00:58:00"
CPU%:8.07  TimeStamp:"2020-08-07T00:58:01"
CPU%:8.73  TimeStamp:"2020-08-07T00:58:02"
CPU%:10.35  TimeStamp:"2020-08-07T00:58:03"
CPU%:7.87  TimeStamp:"2020-08-07T00:58:04"
CPU%:7.74  TimeStamp:"2020-08-07T00:58:05"
CPU%:9.31  TimeStamp:"2020-08-07T00:58:06"
CPU%:6.83  TimeStamp:"2020-08-07T00:58:07"
CPU%:7.26  TimeStamp:"2020-08-07T00:58:08"
CPU%:7.56  TimeStamp:"2020-08-07T00:58:09"
CPU%:7.54  TimeStamp:"2020-08-07T00:58:10"
CPU%:8.53  TimeStamp:"2020-08-07T00:58:11"
CPU%:7.50  TimeStamp:"2020-08-07T00:58:12"
CPU%:6.59  TimeStamp:"2020-08-07T00:58:13"
CPU%:9.82  TimeStamp:"2020-08-07T00:58:14"
CPU%:7.89  TimeStamp:"2020-08-07T00:58:15"
CPU%:10.21  TimeStamp:"2020-08-07T00:58:16"
CPU%:7.00  TimeStamp:"2020-08-07T00:58:17"
CPU%:8.69  TimeStamp:"2020-08-07T00:58:18"
CPU%:7.12  TimeStamp:"2020-08-07T00:58:19"
CPU%:6.70  TimeStamp:"2020-08-07T00:58:20"
CPU%:6.24  TimeStamp:"2020-08-07T00:58:21"
CPU%:8.28  TimeStamp:"2020-08-07T00:58:22"
CPU%:8.43  TimeStamp:"2020-08-07T00:58:23"
CPU%:7.33  TimeStamp:"2020-08-07T00:58:24"
CPU%:7.06  TimeStamp:"2020-08-07T00:58:25"
CPU%:7.77  TimeStamp:"2020-08-07T00:58:26"
CPU%:7.92  TimeStamp:"2020-08-07T00:58:27"
CPU%:9.09  TimeStamp:"2020-08-07T00:58:28"
CPU%:7.68  TimeStamp:"2020-08-07T00:58:29"
CPU%:8.45  TimeStamp:"2020-08-07T00:58:30"
CPU%:8.97  TimeStamp:"2020-08-07T00:58:31"
CPU%:9.42  TimeStamp:"2020-08-07T00:58:32"
CPU%:7.12  TimeStamp:"2020-08-07T00:58:33"
CPU%:10.54  TimeStamp:"2020-08-07T00:58:34"
CPU%:8.69  TimeStamp:"2020-08-07T00:58:35"
CPU%:9.26  TimeStamp:"2020-08-07T00:58:36"
CPU%:7.65  TimeStamp:"2020-08-07T00:58:37"
CPU%:10.80  TimeStamp:"2020-08-07T00:58:38"
CPU%:9.22  TimeStamp:"2020-08-07T00:58:39"
CPU%:9.21  TimeStamp:"2020-08-07T00:58:40"
CPU%:9.22  TimeStamp:"2020-08-07T00:58:41"
CPU%:8.56  TimeStamp:"2020-08-07T00:58:42"
