CPU Utilization Data for com.docker.hyper
CPU%:8.14  TimeStamp:"2020-08-07T00:46:04"
CPU%:10.33  TimeStamp:"2020-08-07T00:46:05"
CPU%:8.43  TimeStamp:"2020-08-07T00:46:06"
CPU%:8.35  TimeStamp:"2020-08-07T00:46:07"
CPU%:8.82  TimeStamp:"2020-08-07T00:46:08"
CPU%:10.87  TimeStamp:"2020-08-07T00:46:09"
CPU%:10.89  TimeStamp:"2020-08-07T00:46:10"
CPU%:10.33  TimeStamp:"2020-08-07T00:46:11"
CPU%:10.50  TimeStamp:"2020-08-07T00:46:12"
CPU%:7.65  TimeStamp:"2020-08-07T00:46:13"
CPU%:9.05  TimeStamp:"2020-08-07T00:46:14"
CPU%:8.48  TimeStamp:"2020-08-07T00:46:15"
CPU%:7.80  TimeStamp:"2020-08-07T00:46:16"
CPU%:10.26  TimeStamp:"2020-08-07T00:46:17"
CPU%:9.43  TimeStamp:"2020-08-07T00:46:18"
CPU%:8.64  TimeStamp:"2020-08-07T00:46:19"
CPU%:8.50  TimeStamp:"2020-08-07T00:46:20"
CPU%:8.42  TimeStamp:"2020-08-07T00:46:21"
CPU%:8.22  TimeStamp:"2020-08-07T00:46:22"
CPU%:9.98  TimeStamp:"2020-08-07T00:46:23"
CPU%:8.31  TimeStamp:"2020-08-07T00:46:24"
CPU%:8.66  TimeStamp:"2020-08-07T00:46:25"
CPU%:7.83  TimeStamp:"2020-08-07T00:46:26"
CPU%:8.49  TimeStamp:"2020-08-07T00:46:27"
CPU%:8.82  TimeStamp:"2020-08-07T00:46:28"
CPU%:8.56  TimeStamp:"2020-08-07T00:46:29"
CPU%:7.63  TimeStamp:"2020-08-07T00:46:30"
CPU%:9.71  TimeStamp:"2020-08-07T00:46:31"
CPU%:8.67  TimeStamp:"2020-08-07T00:46:32"
CPU%:10.92  TimeStamp:"2020-08-07T00:46:33"
CPU%:9.42  TimeStamp:"2020-08-07T00:46:34"
CPU%:8.86  TimeStamp:"2020-08-07T00:46:35"
CPU%:9.94  TimeStamp:"2020-08-07T00:46:36"
CPU%:9.94  TimeStamp:"2020-08-07T00:46:37"
CPU%:7.85  TimeStamp:"2020-08-07T00:46:38"
CPU%:8.24  TimeStamp:"2020-08-07T00:46:39"
CPU%:8.28  TimeStamp:"2020-08-07T00:46:40"
CPU%:9.39  TimeStamp:"2020-08-07T00:46:41"
CPU%:9.25  TimeStamp:"2020-08-07T00:46:42"
CPU%:8.30  TimeStamp:"2020-08-07T00:46:43"
CPU%:11.64  TimeStamp:"2020-08-07T00:46:44"
CPU%:8.18  TimeStamp:"2020-08-07T00:46:45"
CPU%:9.87  TimeStamp:"2020-08-07T00:46:46"
CPU%:10.59  TimeStamp:"2020-08-07T00:46:47"
CPU%:9.27  TimeStamp:"2020-08-07T00:46:48"
CPU%:6.95  TimeStamp:"2020-08-07T00:46:49"
CPU%:7.98  TimeStamp:"2020-08-07T00:46:50"
CPU%:8.22  TimeStamp:"2020-08-07T00:46:51"
CPU%:8.75  TimeStamp:"2020-08-07T00:46:52"
CPU%:7.42  TimeStamp:"2020-08-07T00:46:53"
CPU%:8.21  TimeStamp:"2020-08-07T00:46:54"
CPU%:8.22  TimeStamp:"2020-08-07T00:46:55"
CPU%:7.83  TimeStamp:"2020-08-07T00:46:56"
CPU%:5.74  TimeStamp:"2020-08-07T00:46:57"
CPU%:8.84  TimeStamp:"2020-08-07T00:46:58"
CPU%:7.53  TimeStamp:"2020-08-07T00:46:59"
CPU%:9.26  TimeStamp:"2020-08-07T00:47:00"
CPU%:7.37  TimeStamp:"2020-08-07T00:47:01"
CPU%:8.75  TimeStamp:"2020-08-07T00:47:02"
CPU%:10.12  TimeStamp:"2020-08-07T00:47:03"
